# Constructed from biom file
#OTU ID	CHE0002SZ	CHE0004BZ	CHE0005SZ	CHE0009BZ	CHE0010BZ	CHE0012SZ	CHE0013BZ	CHE0014TZ	CHE1003TZ	CHE1006Z	CHE1007SZ	CHE1008TZ	CHE1011TZ	CHE1020TZ	EUR0003	EUR0003.RT.1	EUR0003.RT.2	EUR0003.RT.3	EUR0005	EUR0005.RT	EUR0009	EUR0009.RT	EUR0011	EUR0011.RT	EUR1001	EUR1001.RT	EUR1002.1	EUR1002.2	EUR1002.3	EUR1002.RT	EUR1006	EUR1006.RT	EUR1007	EUR1007.RT	EUR1008	EUR1008.RT	EUR1010	EUR1010.RT	RAJ0016YZ	RAJ0018YZ	RAJ0019YZ	RAJ0022YZ	RAJ1011YZ	RAJ1012YZ	RAJ1014YZ	RAJ1015YZ	RAJ1020YZ	RAU0015YZ	RAU0016YZ	RAU0022YZ	RAU0028AZ	RAU1009YZ	RAU1011YZ	RAU1013YZ	RAU1014YZ	RAU1020YZ	RAU1026YZ	RAU1029Y	THA0055JZ	THA0058AZ	THA0061JZ	THA0062YZ	THA0065JZ	THA0068JZ	THA0078JZ	THA1056YZ	THA1057JZ	THA1060YZ	THA1063YZ	THA1064JZ	THA1066YZ	THA1067YZ.1	THA1070JZ	THA1071YZ	THA1072JZ	THA1074JZ	THA1075YZ	THA1076JZ
987998f891b4e30a6a1ba055aebb6d8b	0.0	0.0	0.0	503.0	0.0	0.0	469.0	270.0	144.0	0.0	0.0	879.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	774.0	0.0	0.0	0.0	0.0	0.0	102.0	0.0	0.0	3741.0	1986.0	1497.0	0.0	224.0	0.0	0.0	1880.0	0.0	0.0	0.0	0.0	1022.0	0.0	0.0	0.0	0.0	714.0	1501.0	1460.0	0.0	0.0	2463.0	0.0	966.0	0.0	0.0	1464.0	0.0
b0645cbec7653c887cb868a248d95874	62.0	84.0	75.0	74.0	56.0	72.0	100.0	84.0	144.0	104.0	163.0	74.0	113.0	149.0	182.0	359.0	653.0	522.0	87.0	234.0	155.0	216.0	350.0	266.0	356.0	854.0	287.0	360.0	144.0	587.0	345.0	1076.0	27.0	143.0	136.0	91.0	116.0	126.0	126.0	91.0	309.0	688.0	132.0	0.0	201.0	111.0	144.0	110.0	99.0	65.0	254.0	105.0	505.0	107.0	260.0	184.0	24.0	95.0	39.0	356.0	40.0	171.0	1297.0	270.0	49.0	0.0	58.0	135.0	142.0	123.0	65.0	122.0	115.0	207.0	106.0	279.0	542.0	115.0
90e1253593cc84acfef1a41b57c0732f	298.0	0.0	0.0	115.0	38.0	341.0	0.0	841.0	564.0	62.0	503.0	785.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	380.0	51.0	514.0	0.0	0.0	937.0	106.0	374.0	146.0	0.0	0.0	0.0	100.0	765.0	297.0	0.0	94.0	30.0	0.0	2438.0	0.0	765.0	0.0	0.0	0.0	688.0	0.0	765.0	679.0	843.0	547.0	674.0	0.0	58.0	0.0	0.0	394.0	154.0
e6a34eb113dba66df0b8bbec907a8f5d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1215.0	726.0	728.0	787.0	1235.0	774.0	629.0	496.0	1115.0	672.0	1115.0	502.0	0.0	0.0	0.0	0.0	1006.0	737.0	495.0	375.0	537.0	418.0	1034.0	275.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	15.0	0.0	0.0	131.0	251.0	0.0
ea3af29626a95b6c7b89d631bf1a739c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	33.0	0.0	42.0	57.0	105.0	166.0	91.0	199.0	155.0	0.0	0.0	0.0	0.0	0.0	0.0	86.0	51.0	0.0	0.0	399.0	13247.0	0.0	0.0	0.0	0.0	0.0	97.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	97.0	0.0	20.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	100.0	82.0	0.0
c162a4f3943238810eba8a25f0563cca	0.0	0.0	116.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	279.0	189.0	155.0	206.0	218.0	470.0	537.0	118.0	110.0	291.0	191.0	137.0	122.0	102.0	250.0	182.0	116.0	2336.0	1312.0	806.0	435.0	373.0	140.0	1614.0	1459.0	70.0	0.0	0.0	0.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	21.0	15.0	24.0	15.0	20.0	13.0	60.0	45.0	18.0	0.0	0.0	10.0	0.0	0.0	25.0	0.0	0.0	90.0	87.0	0.0
de0551fb4e1582bc1fa068762294f375	337.0	301.0	0.0	592.0	206.0	587.0	137.0	739.0	623.0	0.0	0.0	311.0	1065.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	905.0	277.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	862.0	246.0	355.0	580.0	78.0	0.0	0.0	0.0	371.0	0.0	709.0	0.0	0.0	192.0	0.0	0.0	0.0	0.0	0.0	755.0	0.0	0.0	0.0	0.0	0.0	829.0	0.0	0.0	0.0	0.0	335.0	96.0	0.0	552.0
f9b52205cb2d03153fd394a290212a10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	314.0	286.0	391.0	408.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	677.0	1274.0	654.0	534.0	4416.0	2072.0	0.0	0.0	165.0	246.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	200.0	0.0	338.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dff37b3a4d27b9220b9af1459162a48b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	128.0	254.0	6455.0	4734.0	0.0	0.0	48.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
04195686f2b70585790ec75320de0d6f	632.0	122.0	14.0	1049.0	0.0	28.0	6.0	62.0	95.0	50.0	120.0	0.0	20.0	509.0	0.0	4.0	0.0	0.0	24.0	27.0	0.0	0.0	0.0	0.0	14.0	122.0	0.0	0.0	0.0	0.0	8.0	63.0	52.0	21.0	0.0	0.0	9.0	20.0	26.0	987.0	95.0	31.0	8.0	506.0	24.0	38.0	28.0	0.0	0.0	0.0	10.0	2145.0	8.0	0.0	12.0	52.0	49.0	0.0	1121.0	55.0	6.0	17.0	25.0	8.0	4.0	420.0	64.0	529.0	449.0	28.0	14.0	400.0	5.0	537.0	18.0	17.0	160.0	0.0
